	Label	Area	Mean	Min	Max
1	Mig_Mut_put_switched_petri.tif	0.00073	29471.68627	29008	30432
2	Mig_Mut_put_switched_petri.tif	0.00385	53852.94052	28988	65535
3	Mig_Mut_put_switched_petri.tif	0.00381	48992.18421	29096	65535
4	Mig_Mut_put_switched_petri.tif	0.00322	55426.40889	29080	65535
5	Mig_Mut_put_switched_petri.tif	0.00226	52861.96203	29232	65535
6	Mig_Mut_put_switched_petri.tif	0.00225	31225.17197	28992	33296
7	Mig_Mut_put_switched_petri.tif	0.00069	30298.08333	29060	31728
8	Mig_Mut_put_switched_petri.tif	0.00079	30269.01818	28976	31848
9	Mig_Mut_put_switched_petri.tif	0.00391	54319.25641	28972	65535
10	Mig_Mut_put_switched_petri.tif	0.00087	30472.85246	29084	32088
11	Mig_Mut_put_switched_petri.tif	0.00149	31298.80769	28972	33512
12	Mig_Mut_put_switched_petri.tif	0.00440	49661.55049	29116	65535
13	Mig_Mut_put_switched_petri.tif	0.00241	42196.42262	29052	65535
14	Mig_Mut_put_switched_petri.tif	0.00188	44706.83206	29084	65535
-	-	-	-	-	-
1	J_M_pos_control.tif	0.00277	34215.79275	24460	45504
2	J_M_pos_control.tif	0.00612	33788.50585	24468	45580
3	J_M_pos_control.tif	0.00284	33784.16162	24508	43916
4	J_M_pos_control.tif	0.00046	32463.50000	24652	41628
5	J_M_pos_control.tif	0.00784	33968.02925	24444	44572
6	J_M_pos_control.tif	0.00797	34272.61151	24452	48320
7	J_M_pos_control.tif	0.00188	32117.03817	24600	43112
8	J_M_pos_control.tif	0.00173	35292.76033	25012	47572
9	J_M_pos_control.tif	0.00116	33148.14815	24716	43348
10	J_M_pos_control.tif	0.00156	34000.62385	24832	45924
11	J_M_pos_control.tif	0.00123	30775.30233	24640	38792
12	J_M_pos_control.tif	0.00585	33945.86275	24472	45752
13	J_M_pos_control.tif	0.00292	34237.43137	24520	44620
14	J_M_pos_control.tif	0.00146	33872.39216	24636	44340
15	J_M_pos_control.tif	0.00181	34834.69841	24456	47140
16	J_M_pos_control.tif	0.00119	33324.77108	24648	42996
17	J_M_pos_control.tif	0.00082	29947.36842	24480	36996
18	J_M_pos_control.tif	0.00910	34609.03307	24476	47068
19	J_M_pos_control.tif	0.00095	32210.18182	24508	41560
20	J_M_pos_control.tif	0.00105	32256.98630	24576	41224
21	J_M_pos_control.tif	0.00447	35349.16667	24488	50032
22	J_M_pos_control.tif	0.00062	33235.44186	24644	42308
23	J_M_pos_control.tif	0.00133	30942.15054	24488	39460
24	J_M_pos_control.tif	0.00234	33559.46012	24512	45524
25	J_M_pos_control.tif	0.00125	33309.37931	24464	43200
26	J_M_pos_control.tif	0.00146	32148.86275	24496	41492
27	J_M_pos_control.tif	0.00118	33864.78049	24564	45116
28	J_M_pos_control.tif	0.00507	33725.38983	24536	44924
29	J_M_pos_control.tif	0.00292	34567.00000	25096	44708
30	J_M_pos_control.tif	0.00097	31491.70588	24460	39304
31	J_M_pos_control.tif	0.00155	33325.25926	24552	43332
32	J_M_pos_control.tif	0.00278	35477.62887	24456	47844
33	J_M_pos_control.tif	0.00192	33237.13433	24464	43476
34	J_M_pos_control.tif	0.00033	29034.60870	24480	33840
35	J_M_pos_control.tif	0.00173	35041.98347	24912	47232
36	J_M_pos_control.tif	0.00029	27956.80000	24452	31284
37	J_M_pos_control.tif	0.00354	33496.27530	24512	44492
38	J_M_pos_control.tif	0.00363	34002.41897	24484	47976
39	J_M_pos_control.tif	0.00241	33376.35714	24528	43824
40	J_M_pos_control.tif	0.00218	33541.97368	24600	46440
41	J_M_pos_control.tif	0.00140	32731.95918	24772	42708
42	J_M_pos_control.tif	0.00175	33510.00000	24504	42120
43	J_M_pos_control.tif	0.00096	30161.61194	24452	37348
44	J_M_pos_control.tif	0.00158	34196.69091	24864	45528
45	J_M_pos_control.tif	0.00073	32251.52941	24460	40072
46	J_M_pos_control.tif	0.00460	33829.32087	24448	44040
47	J_M_pos_control.tif	0.00332	32937.94828	24512	44496
48	J_M_pos_control.tif	0.00099	32376.52174	24560	41436
49	J_M_pos_control.tif	0.00265	34598.29189	24468	47924
50	J_M_pos_control.tif	0.00109	31717.00000	24792	40036
51	J_M_pos_control.tif	0.00428	36127.90635	24448	47612
52	J_M_pos_control.tif	0.00079	31909.52727	24592	40384
53	J_M_pos_control.tif	0.00183	34834.00000	24456	47072
54	J_M_pos_control.tif	0.00229	34576.27500	24508	45284
55	J_M_pos_control.tif	0.00191	33488.18045	24888	44716
56	J_M_pos_control.tif	0.00185	32717.51938	24448	43348
57	J_M_pos_control.tif	0.00148	34159.02913	24564	45784
58	J_M_pos_control.tif	0.00090	33281.84127	25256	41500
59	J_M_pos_control.tif	0.00182	33607.08661	24708	43888
60	J_M_pos_control.tif	0.00113	33749.77215	24584	43544
61	J_M_pos_control.tif	0.00162	33268.21239	24648	41744
62	J_M_pos_control.tif	0.00047	30794.18182	25104	35844
63	J_M_pos_control.tif	0.00115	31081.60000	24452	38992
64	J_M_pos_control.tif	0.00189	33934.57576	24472	46088
65	J_M_pos_control.tif	0.00135	32981.19149	24620	43836
66	J_M_pos_control.tif	0.00268	35682.39572	24500	47496
67	J_M_pos_control.tif	0.00175	33982.29508	24764	44372
68	J_M_pos_control.tif	0.00248	34323.12139	24452	47128
69	J_M_pos_control.tif	0.00212	32784.64865	24656	44464
70	J_M_pos_control.tif	0.00206	35024.72222	24604	46996
71	J_M_pos_control.tif	0.00148	32993.08738	24512	42528
72	J_M_pos_control.tif	0.00176	32017.59350	24444	41540
73	J_M_pos_control.tif	0.00152	34550.37736	24452	46632
74	J_M_pos_control.tif	0.00076	31563.47170	24736	38628
75	J_M_pos_control.tif	0.00203	34612.22535	24448	46488
76	J_M_pos_control.tif	0.00545	33511.63158	24664	44684
77	J_M_pos_control.tif	0.00125	34148.96552	24484	44376
78	J_M_pos_control.tif	0.00546	31398.53018	24472	41884
79	J_M_pos_control.tif	0.00257	36643.39665	24528	50064
80	J_M_pos_control.tif	0.00064	30287.64444	24552	36324
81	J_M_pos_control.tif	0.00120	31794.76190	24608	40188
82	J_M_pos_control.tif	0.00120	31580.42857	24588	40004
83	J_M_pos_control.tif	0.00182	32937.41732	24476	43160
84	J_M_pos_control.tif	0.00140	33312.65306	24568	42816
85	J_M_pos_control.tif	0.00195	35180.20588	24696	47124
86	J_M_pos_control.tif	0.00161	33742.96429	24632	44628
87	J_M_pos_control.tif	0.00211	33619.07483	24548	44596
88	J_M_pos_control.tif	0.00345	34469.49378	24472	48556
89	J_M_pos_control.tif	0.00246	34998.16279	24456	48240
